productId,title,description,uom,pricing.price,Image,Walmart,Zehrs,Freshco,Food Basics,Canadian Superstore,Farahs,No Frills
20789931_EA,"Pacific White Shrimp Raw Peeled, Large","<p>31 - 40 shrimp per pound. Pacific White Shrimp. Thanks to their mild, sweet flavour and firm texture, Pacific white shrimp are ideal for a variety of cooking methods. They’re delicious in stir-fries, pasta sauces or marinated, then grilled or broiled.</p>",EA,11.29,https://assets.shop.loblaws.ca/products/20789931/b2/en/front/20789931_front_a06_@2.png,10.5,9.94,9.37,10.5,10.73,9.26,9.94
20318694001_C12,"Zero Sugar, 12 pack","<p>Coca-Cola Zero provides real Coca-Cola taste  and 0 calories giving you everything you want and nothing you  don't.</p><ul><li>Real Coca-Cola taste, with Zero calories/sugar (Best  tasting 0 calorie cola in market)</li><li>Refreshing, crisp taste  pairs perfectly with a meal or with friends</li><li>34 mg of  caffeine in each 355 mL serving</li><li>355 mL in each  can</li><li>This carbonated beverage is best enjoyed ice-cold for  maximum refreshment.</li><li>Perfect size to be enjoyed with  meals or snacking</li></ul>",C12,7.49,https://assets.shop.loblaws.ca/products/20318694001/b2/en/front/20318694001_front_a06_@2.png,6.97,6.59,6.22,6.97,7.12,6.14,6.59
20296926002_EA,Soda      ,"<p>The bold, refreshing, robust cola. Perfect for parties, meals, and celebrations big and small. 2L/ 68oz - The ultimate party sidekick!</p>",EA,1.66,https://assets.shop.loblaws.ca/products/20296926002/b2/en/front/20296926002_front_a06_@2.png,1.54,1.46,1.38,1.54,1.58,1.36,1.46
20962514_EA,Homogenized Milk,"A pasteurized, homogenized milk containing 3.25% M.F. fortified with vitamin D.This product is an excellent source of calcium.",EA,5.81,https://assets.shop.loblaws.ca/products/20962514/b2/en/front/20962514_front_a06_@2.png,5.4,5.11,4.82,5.4,5.52,4.76,5.11
21031316_EA,Tortilla Chips Salted,"Our most salty chip, but not so much salt that you feel gross after. Not too thick, and not too thin for a perfect crunch. We created Que Pasa because we wanted a chip that was real – just a few, simple ingredients, minimally processed for an authentic and wholesome taste without feeling the greasy heaviness that come from most other corn chips that are made from highly processed and refined corn flour. Keeping it real also means keeping it pure – so we use only the highest quality organic, non-GMO ingredients in all of our products. And because authenticity is everything, Que Pasa’s tortilla chips are made the traditional Mexican way – whole organic corn kernels ground between hand-cut volcanic rock.",EA,4.99,https://assets.shop.loblaws.ca/products/21031316/b2/en/front/21031316_front_a06_@2.png,4.64,4.39,4.14,4.64,4.74,4.09,4.39
21092033_EA,Traditional Naan Dippers,"These tender, airy flatbreads are adorably snack-sized. Made traditionally with buttermilk and ghee for added richness and a wonderful hint of smokiness, they’re exceptional served warm with PC dips and spreads. Or, pair them with your favourite dishes like chicken curry or lentil soup.",EA,4.99,https://assets.shop.loblaws.ca/products/21092033/b2/en/front/21092033_front_a06_@2.png,4.64,4.39,4.14,4.64,4.74,4.09,4.39
20162840001_EA,"Spinach, Bunched","Spinach has dark green leaves that are either flat and smooth or curly and crinkled. Both have crisp, fragrant leaves and a slightly bitter flavour. Spinach can be very gritty and must be rinsed thoroughly. Use raw in salad, combine with feta for spanakopita, or sauté in olive oil and garlic for a simple side dish.",EA,1.97,https://assets.shop.loblaws.ca/products/20162840001/b2/en/front/20162840001_front_a06_@2.png,1.83,1.73,1.64,1.83,1.87,1.62,1.73
20159013001_KG,Long Eggplants,"Long (or Japanese) eggplants are small and narrow with deep purple skin. Their flesh is sweeter than the purple eggplant and they are ideal for grilling on the barbeque. You can also chop long eggplants to use in pastas and stews, or stir-fry with garlic and ginger.",KG,1.48,https://assets.shop.loblaws.ca/products/20159013001/b2/en/front/20159013001_front_a06_@2.png,1.38,1.3,1.23,1.38,1.41,1.21,1.3
21245360_EA,"Almond For Coffee, Vanilla Flavour, Plant Based Dairy Free Coffee Creamer","Perk up any coffee with an oh-so-creamy swirl of our Vanilla Almond coffee creamer. Silk® Vanilla Almond for Coffee brings nutty flavor, a hint of vanilla and subtle sweetness, totally dairy-free. Because who doesn’t love a little almond goodness and zing of vanilla flavour in their morning coffee? Go ahead—swirl it in.<ul><li>No cholesterol or saturated fat</li><li>Free of dairy, lactose, gluten, casein and MSG</li><li>Verified by the Non-GMO Project’s product verification program</li><li>No artificial colours, or flavours</li><li>Vegan</li></ul>",EA,3.97,https://assets.shop.loblaws.ca/products/21245360/b2/en/front/21245360_front_a06_@2.png,3.69,3.49,3.3,3.69,3.77,3.26,3.49
20077874001_EA,Lactose Free 2% Dairy Product,"Through our unique process, we can preserve the deliciously pure taste of fresh milk in every glass of our products, while removing the lactose that can cause you discomfort. So you can once again benefit from an excellent source of calcium, vitamin D and protein, plus a source of vitamin A. That’s everything you need to maintain a well-balanced diet.",EA,6.39,https://assets.shop.loblaws.ca/products/20077874001/b2/en/front/20077874001_front_a06_@2.png,5.94,5.62,5.3,5.94,6.07,5.24,5.62
20603888003_EA,Sea Salt Crackers,"Delectably airy and crispy crackers with elegant scalloped edges, baked to golden perfection.",EA,2.99,https://assets.shop.loblaws.ca/products/20603888003/b2/en/front/20603888003_front_a06_@2.png,2.78,2.63,2.48,2.78,2.84,2.45,2.63
20035618001_KG,Yellow Asian Pears,"Asian pears are shaped more like apples, which is why they are sometimes referred to as apple pears. They range in color and are typically firm, crunchy, and quite juicy. Asian pears are perfect for baking and poaching since they hold their shape well, but they also taste great fresh in salads and sandwiches.",KG,1.18,https://assets.shop.loblaws.ca/products/20035618001/b2/en/front/20035618001_front_a06_@2.png,1.1,1.04,0.98,1.1,1.12,0.97,1.04
20155709001_KG,Purple Eggplants,"Purple eggplants have glossy, deep purple skin and a meaty texture. Eggplant should only be cut right before use since the flesh discolours quickly. Roast to make eggplant caviar or baba ghanoush, or dice for a classic ratatouille.",KG,3.77,https://assets.shop.loblaws.ca/products/20155709001/b2/en/front/20155709001_front_a06_@2.png,3.51,3.32,3.13,3.51,3.58,3.09,3.32
21592461_EA,Smoked Black Forest Ham Slices,"<p><p>Add a delicious, smoky flavour to your breakfast sandwiches with Smoked Black Forest Ham Slices. Extra lean with 17% meat protein, these slices are the perfect addition to sandwiches and charcuterie boards.</p></p>",EA,3.5,https://assets.shop.loblaws.ca/products/21592461/b2/en/front/21592461_front_a06_@2.png,3.26,3.08,2.9,3.26,3.32,2.87,3.08
21037796_EA,"Oat Beverage, Original","Voted as being the Best Tasting Oat Milk in a Canada-wide taste challenge, our Oat Original brings rich, delicious flavour to your day. It froths great for your hot coffee or iced lattes and tastes delicious poured into your favourite cereal. Or, blend it to make a creamy smoothie for on the go. It's a great base for your plant-based overnight oats too! You can also use it as a dairy replacement for your favourite meals or baked goods. Earth's Own Original Oat Milk is made with Canadian-grown oats and uses 7x less water than cow's milk. NBD. Wait, that is a BD!",EA,3.99,https://assets.shop.loblaws.ca/products/21037796/b2/en/front/21037796_front_a06_@2.png,3.71,3.51,3.31,3.71,3.79,3.27,3.51
20791381_EA,Pacific White Shrimp Cooked Peeled,31 - 40 shrimp per pound. Cooked & peeled. Pacific White Shrimp Shrimp are crustaceans that are found in both warm and cold waters. They come in a variety of colours and sizes but their texture and flavour is pretty consistent making it easy to substitute one for another (except the miniatures). Serve cooked shrimp with dipping sauce as an appetizer or prepare shrimp scampi and serve over rice or pasta.,EA,11.99,https://assets.shop.loblaws.ca/products/20791381/b2/en/front/20791381_front_a06_@2.png,11.15,10.55,9.95,11.15,11.39,9.83,10.55
21191830_EA,"Pub Style Chicken Nugget, Fully Cooked","Get a delicious and convenient source of energy with Janes Pub Style Chicken Nuggets. These fully cooked nuggets are perfect for quick and easy meals. Enjoy them on their own as a tasty snack, or serve them with dips and sides for a crowd-pleasing appetizer.",EA,5.99,https://assets.shop.loblaws.ca/products/21191830/b2/en/front/21191830_front_a06_@2.png,5.57,5.27,4.97,5.57,5.69,4.91,5.27
20570507_EA,"Tofu, Extra Firm","Sunrise Extra Firm Tofu can be used in a variety of dishes. It has a firm texture, making it perfect for stir-fries, grilling, and adding to salads. With Sunrise Extra Firm Tofu, you can create delicious and nutritious tofu bowls, tofu scrambles, or even tofu kebabs.",EA,2.79,https://assets.shop.loblaws.ca/products/20570507/b2/en/front/20570507_front_a06_@2.png,2.59,2.46,2.32,2.59,2.65,2.29,2.46
20080289_EA,Shrimp Ring,50 - 60 shrimp per ring.<br>,EA,7.0,https://assets.shop.loblaws.ca/products/20080289/b2/en/front/20080289_front_a06_@2.png,6.51,6.16,5.81,6.51,6.65,5.74,6.16
20948940_EA,"Pretzel Crisps, Original","Pretzel Crisps.<br><br>Crunch'em. Crack'em..<br><br>Dip'em. Stack'em..<br><br>Whether you like them plain, dipped, or paired with your favourite toppings, we're sure you'll enjoy this wholesome snack as much as we do. One bite and you'll Rethink Your Pretzel!",EA,5.5,https://assets.shop.loblaws.ca/products/20948940/b2/en/front/20948940_front_a06_@2.png,5.11,4.84,4.56,5.11,5.22,4.51,4.84
20308197001_C24,"Cans, 24-Pack  ","Enjoy the delicious & refreshing taste of Coca-Cola with meals, on the go, or to share. Serve ice cold for maximum refreshment<ul><li>Bring home the authentic, delicious & refreshing taste of Coca-Cola</li><li>For crisp, cold taste, enjoy chilled</li><li>Made with no artificial flavors or preservatives so you get a full flavor in each sip</li><li>Convenient pack of 24 so you have plenty to enjoy</li><li>Perfect size to be enjoyed with meals, snacking or on the go</li></ul>",C24,13.49,https://assets.shop.loblaws.ca/products/20308197001/b2/en/front/20308197001_front_a06_@2.png,12.55,11.87,11.2,12.55,12.82,11.06,11.87
20603888002_EA,Rosemary Crackers,"Delectably airy and crispy crackers with elegant scalloped edges, baked to golden perfection.",EA,2.99,https://assets.shop.loblaws.ca/products/20603888002/b2/en/front/20603888002_front_a06_@2.png,2.78,2.63,2.48,2.78,2.84,2.45,2.63
21545334_EA,Good Crunch Pineapple Bites With Chili,,EA,4.29,https://assets.shop.loblaws.ca/products/21545334/b2/en/front/21545334_front_a06_@2.png,3.99,3.78,3.56,3.99,4.08,3.52,3.78
20324241008_EA,Fruitsations Unsweetened Strawberry Kiwi Apple Sauce,"Fruitsations Unsweetened Strawberry Kiwi Apple Sauce from Mott's brings a delightful combination of fruit flavours to your snacks and meals. Enhance your breakfast by adding a dollop to your oatmeal, or use it as a delicious, fruit-forward topping for your yogurt. Its convenient packaging makes it easy to enjoy wherever you go.",EA,3.29,https://assets.shop.loblaws.ca/products/20324241008/b2/en/front/20324241008_front_a06_@2.png,3.06,2.9,2.73,3.06,3.13,2.7,2.9
21577824_EA,Butter Croissant Buns,"<p>Enjoy the flaky richness of Butter Croissant Buns. Super soft, these buns are best served warm with your favourite spread or sandwich toppings.</p>",EA,5.5,https://assets.shop.loblaws.ca/products/21577824/b2/en/front/21577824_front_a06_@2.png,5.11,4.84,4.56,5.11,5.22,4.51,4.84
20173165002_EA,Carbonated Spring Water,"When plain water won't do, try this sparkling alternative. Sourced from Canadian springs, it contains 0 calories and no added sugar, making it a great, thirst-quenching option.  Enjoy the added convenience of slim cans anytime you?re on the go.",EA,1.99,https://assets.shop.loblaws.ca/products/20173165002/b2/en/front/20173165002_front_a06_@2.png,1.85,1.75,1.65,1.85,1.89,1.63,1.75
20180720_EA,"Snacks, Snack Mix Original",Munchies Original Snack Mix 1100g,EA,9.29,https://assets.shop.loblaws.ca/products/20180720/b2/en/front/20180720_front_a06_@2.png,8.64,8.18,7.71,8.64,8.83,7.62,8.18
21397475_EA,"Cream Cheese Spread, Original",,EA,5.79,https://assets.shop.loblaws.ca/products/21397475/b2/en/front/21397475_front_a06_@2.png,5.38,5.1,4.81,5.38,5.5,4.75,5.1
21524889_EA,Multigrain Loaf,Indulge in the delightful texture and taste of Promise Gluten Free Multigrain Loaf. This bread is artfully crafted to add a delectable dimension to your meals whether you're preparing a hearty sandwich with your favourite fillings or simply pairing it with a steaming bowl of homemade soup. ,EA,7.99,https://assets.shop.loblaws.ca/products/21524889/b2/en/front/21524889_front_a06_@2.png,7.43,7.03,6.63,7.43,7.59,6.55,7.03
21433563_EA,Lemon Iced Tea,<p>There's nothing more refreshing than a cold glass of iced tea on a hot and sunny summer afternoon. Our Fruité Iced Tea Lemon Drink blends filtered water with real black tea extract to give you the timeless natural flavours you crave. A burst of lemon adds a citrus zest to this classic recipe for a thirst-quenching lemon iced tea that's sure to please. Available in a generous 2 L size that's big enough for the whole family to enjoy or just the right size to keep all to yourself. Shake well before opening. Keep refrigerated once opened. Consume within 10 days for peak freshness.</p><ul><li>Filtered water</li><li>Made with real black tea extract</li><li>Natural flavour</li><li>110 calories per 250 mL serving</li><li>Pasteurized</li><li>2 L</li></u>,EA,2.69,https://assets.shop.loblaws.ca/products/21433563/b2/en/front/21433563_front_a06_@2.png,2.5,2.37,2.23,2.5,2.56,2.21,2.37
21219491_EA,Peanut Butter Chocolatey,1 g* sugar.  10 g* protein.  14 g* fats.  *per 39 g bar.  .  Responsibly sourced palm oil†.  †lovegoodfats.ca.  Feel full longer.  .  Hello!.  I'm Suzie and I'm on a mission to bring good fats back into our diets - and c,EA,9.99,https://assets.shop.loblaws.ca/products/21219491/b2/en/front/21219491_front_a06_@2.png,9.29,8.79,8.29,9.29,9.49,8.19,8.79
21591636_EA,Cake Black Forest,,EA,20.0,https://assets.shop.loblaws.ca/products/21591636/b2/en/front/21591636_front_a06_@2.png,18.6,17.6,16.6,18.6,19.0,16.4,17.6
20318367001_EA,"Chunky Chili, Hot & Spicy",Full serving of vegetablesNon-BPA lining,EA,3.29,https://assets.shop.loblaws.ca/products/20318367001/b2/en/front/20318367001_front_a06_@2.png,3.06,2.9,2.73,3.06,3.13,2.7,2.9
21030802_EA,Unbleached All-Purpose Flour,Prairie Flour Mills Ltd.Spring wheat flour,EA,3.77,https://assets.shop.loblaws.ca/products/21030802/b2/en/front/21030802_front_a06_@2.png,3.51,3.32,3.13,3.51,3.58,3.09,3.32
21586063_EA,Guacamole Classic,,EA,5.49,https://assets.shop.loblaws.ca/products/21586063/b2/en/front/21586063_front_a06_@2.png,5.11,4.83,4.56,5.11,5.22,4.5,4.83
21084948_EA,Active Manuka Honey,Capilano®.  Australia .  Since 1953.  .  Active honey.  .  MGO 30+.  .  Naturally bioactive.  Australian honey.  .  Grade no. 1.  Amber.  Non-drip valve,EA,13.49,https://assets.shop.loblaws.ca/products/21084948/b2/en/front/21084948_front_a06_@2.png,12.55,11.87,11.2,12.55,12.82,11.06,11.87
20325160002_EA,Unsweetened Fine Coconut,"Dried coconut, both sweetened and unsweetened, can be used in cooked and baked dishes or enjoyed on its own. Try it in muesli, as a topping for cakes, or use to make macaroons. ",EA,2.29,https://assets.shop.loblaws.ca/products/20325160002/b2/en/front/20325160002_front_a06_@2.png,2.13,2.02,1.9,2.13,2.18,1.88,2.02
20145376_EA,Dried Shiitake Mushrooms,,EA,5.48,https://assets.shop.loblaws.ca/products/20145376/b2/en/front/20145376_front_a06_@2.png,5.1,4.82,4.55,5.1,5.21,4.49,4.82
20089177_KG,"Genoa Salami, Mild (Thin Sliced)",Genoa salami is a strong-flavoured salami moistened with red wine and seasoned with pepper and garlic. It is usually made entirely with pork but may also contain beef. Enjoy thin slices of it on a sandwich or as part of an antipasto plate.,KG,4.2,https://assets.shop.loblaws.ca/products/20089177/b2/en/front/20089177_front_a06_@2.png,3.91,3.7,3.49,3.91,3.99,3.44,3.7
21062267_EA,Creamy Garlic Wing Sauce,"<p>Perfect for game nights, Creamy Garlic Wing Sauce is a versatile dipping sauce. Made with no artificial flavours or synthetic colours, it taste great with chicken, burgers, and tacos.</p>",EA,4.29,https://assets.shop.loblaws.ca/products/21062267/b2/en/front/21062267_front_a06_@2.png,3.99,3.78,3.56,3.99,4.08,3.52,3.78
20059359002_C12,Diet Lemon Iced Tea ,<p>This sweet and smooth-tasting beverage is naturally flavoured. Non- carbonated.</p>,C12,5.49,https://assets.shop.loblaws.ca/products/20059359002/b2/en/front/20059359002_front_a06_@2.png,5.11,4.83,4.56,5.11,5.22,4.5,4.83
20768660_EA,100% Pure Vegetable Oil,,EA,5.49,https://assets.shop.loblaws.ca/products/20768660/b2/en/front/20768660_front_a06_@2.png,5.11,4.83,4.56,5.11,5.22,4.5,4.83
21109988_KG,Golden Pompano,,KG,6.44,https://assets.shop.loblaws.ca/products/21109988/b2/en/front/21109988_front_a06_@2.png,5.99,5.67,5.35,5.99,6.12,5.28,5.67
21457680_EA,Instant Boba Kit Black Tea,,EA,9.49,https://assets.shop.loblaws.ca/products/21457680/b2/en/front/21457680_front_a06_@2.png,8.83,8.35,7.88,8.83,9.02,7.78,8.35
20419290002_EA,Fiorelli,"Our 100% authentic Italian Fiorelli Pasta is made with durum wheat and natural spring water from the Italian Alps. The dough is pressed through bronze dies into a wavy, curly shape that resembles flower buds. It’s then air-dried for a rustic, rough texture that’s ideal for soaking up every drop of sauce. Imported from Italy.",EA,3.99,https://assets.shop.loblaws.ca/products/20419290002/b2/en/front/20419290002_front_a06_@2.png,3.71,3.51,3.31,3.71,3.79,3.27,3.51
20845331_EA,Chick Peas Flour,,EA,4.49,https://assets.shop.loblaws.ca/products/20845331/b2/en/front/20845331_front_a06_@2.png,4.18,3.95,3.73,4.18,4.27,3.68,3.95
21346561_KG,Live Whole Crab Small,,KG,39.11,https://assets.shop.loblaws.ca/products/21346561/b2/en/front/21346561_front_a06_@2.png,36.37,34.42,32.46,36.37,37.15,32.07,34.42
20177209_EA,Organic Pumpkin Seed Butter,Spread made from dry-roasted organic pumpkin seeds.,EA,7.29,https://assets.shop.loblaws.ca/products/20177209/b2/en/front/20177209_front_a06_@2.png,6.78,6.42,6.05,6.78,6.93,5.98,6.42
